"","FIPSCode","X","CountyNumber","DemVotes","RepVotes","IsDem","year","lessthanhighschool","atleasthighschooldiploma","atleastbachelorsdegree","graduatedegree","schoolenrollment","medianearnings2010dollars","educationindex","incomeindex","whitenotlatinopopulation","africanamericanpopulation","nativeamericanpopulation","asianamericanpopulation","populationsomeotherraceorraces","latinopopulation","childrenunder6livinginpoverty","adults65andolderlivinginpoverty","Xtotalpopulation","preschoolenrollmentratioenrolledages3and4","povertyratebelowfederalpovertythreshold","ginicoefficient","childpovertylivinginfamiliesbelowthepovertyline","managementprofessionalandrelatedoccupations","serviceoccupations","salesandofficeoccupations","farmingfishingandforestryoccupations","constructionextractionmaintenanceandrepairoccupations","productiontransportationandmaterialmovingoccupations"
"89",5013,75,4007,660,1458,0,2010,22.2,77.8,6.6,1.7,65.8,23805,2.16,3.43,73.4,22.2,0.2,0.2,1.2,2.8,21,18.7,5368,67.5,11.9,0.391,9.7,16.7,12.8,16.6,3.4,16.6,33.8
"90",5015,76,4008,3691,6121,0,2010,21,79,17.4,5.7,68.8,21169,3.15,2.61,84,0.3,0.8,0.6,1.6,12.7,33.1,8.7,27446,29.2,17.2,0.448,24.1,24.3,22,21,1.4,12.3,18.9
"91",5017,77,4009,2649,1670,1,2010,30.7,69.3,12.6,4.8,72,19059,2.78,1.89,40.3,53.8,0.2,0.4,0.6,4.6,73.2,21.8,11800,74.2,34.1,0.509,50.1,28,25.5,14.4,5.7,6.6,19.9
"92",5019,78,4010,3808,4343,0,2010,16.9,83.1,21.7,8.5,81.4,15079,4.85,0.26,70.4,23.3,0.4,0.5,1.4,4,30.3,13,22995,60.5,23.8,0.467,27.7,29.7,22.1,20,2.9,10,15.4
"93",5021,79,4011,1738,3225,0,2010,26.9,73.1,8.8,3.1,78.2,21360,3.29,2.68,96.9,0.3,0.2,0.1,1.1,1.3,47.3,14.1,16083,72.6,18.7,0.488,27.6,28.3,14.4,23.8,4.1,9,20.4
"94",5023,80,4012,2618,8691,0,2010,20.9,79.1,13.8,4.7,71.3,20907,3.19,2.53,95.9,0.3,0.5,0.2,1.2,2,22.5,11.1,25970,22.2,17.4,0.445,27.4,27.6,14.7,22.3,1.2,14.4,19.9
"95",5025,81,4013,845,2313,0,2010,14.1,85.9,14,2,78.1,25572,4.03,3.92,85.1,12.1,0.3,0.1,0.7,1.7,33.9,7.8,8689,48.5,15.1,0.445,27,30.1,14.6,21,4.5,11.7,18
"96",5027,82,4014,3557,5790,0,2010,16.3,83.7,20.8,7.2,83.8,21010,5.01,2.56,59.2,36.7,0.3,0.7,1,2.2,40.7,15.6,24552,60.2,22.9,0.483,34.4,32.1,16.3,24.8,1.3,10.2,15.3
"97",5029,83,4015,3003,4511,0,2010,17.3,82.7,13.8,4.6,72.4,23123,3.45,3.23,82.4,11.2,0.7,0.4,1.8,3.6,30.6,14.5,21273,39,17,0.487,19.8,26.3,15.3,20.9,1.1,14.9,21.6
"98",5031,84,4016,10351,20044,0,2010,16.7,83.3,23.1,8.4,75.9,23657,4.39,3.38,79.6,13,0.3,1.1,1.5,4.4,35.5,10.1,96443,43.9,19.4,0.473,28.7,32.6,16.1,26,1.1,8.6,15.6
"99",5033,85,4017,4872,15125,0,2010,22.6,77.4,13,4.4,74.5,24193,3.37,3.54,86.8,1.1,2.1,1.4,2.4,6.1,33.2,12.2,61948,34.4,18.3,0.406,28.9,27.1,14.7,23.9,1,10.1,23.2
"100",5035,86,4018,9092,6192,1,2010,23.7,76.3,14.2,3.4,76.9,25303,3.56,3.85,45.2,51,0.2,0.6,1,2,42.7,14.5,50902,51.3,27.4,0.466,41.7,27.2,17.1,25.8,0.7,9.9,19.3
"101",5037,87,4019,2279,4268,0,2010,23.9,76.1,12.6,2.8,77.7,23260,3.53,3.27,74.7,22.2,0.3,0.5,0.9,1.5,22.8,20.9,17870,73,16.7,0.432,20.1,24.4,18.8,25,3,11.6,17.2
